video_filename,duration,social_media_content,audio_features
TikTok Sleep Cycle.mp4,30.0,"{""total_faces"": 15, ""text_frames"": 57, ""screen_recording_frames"": 23, ""scene_types"": {""simple_background"": 54, ""moderate_complexity"": 9}, ""dominant_colors"": [""#9cb2bf"", ""#b6a8a0"", ""#09081c"", ""#f2f3ec"", ""#0b0501"", ""#873317"", ""#050401"", ""#56200d"", ""#1a2183"", ""#09081b"", ""#20212f"", ""#868d86"", ""#b9ab80"", ""#5b401f"", ""#1b207e"", ""#62a1c2"", ""#010124"", ""#0e0908"", ""#ad4c2e"", ""#090601"", ""#ebf3f4"", ""#f2f2eb"", ""#0a0a0a"", ""#b0a9a3"", ""#d1a16b"", ""#e9dbc0"", ""#3f7cbf"", ""#846c3f"", ""#3e7bbe"", ""#93acba"", ""#060821"", ""#08061a"", ""#908d90"", ""#605251"", ""#070708"", ""#1a1b28"", ""#595d5c"", ""#211d14"", ""#a6a09e"", ""#020101"", ""#767777"", ""#ac4c2e"", ""#4d4835"", ""#b7a99f"", ""#e9e8ea"", ""#62626e"", ""#5e9dc0"", ""#0e0706"", ""#585d74"", ""#5c5558"", ""#a1b3b8"", ""#212526"", ""#020103"", ""#5996ba"", ""#b78b5f"", ""#ebddd1"", ""#55200d"", ""#d5d5d2"", ""#7aa1b9"", ""#100b03"", ""#928c8c"", ""#0f0a0a"", ""#59617a"", ""#130f07"", ""#acc7e0"", ""#21212e"", ""#1a1a26"", ""#201d13"", ""#1c211d"", ""#8f8c95"", ""#a9a096"", ""#21222f"", ""#57636c"", ""#020102"", ""#5f5354"", ""#b8a9a0"", ""#1a1f7e"", ""#09091d"", ""#f1f8fa"", ""#1b217b"", ""#0a0501"", ""#beb9b2"", ""#5690b6"", ""#61a1c2"", ""#010123"", ""#120d05"", ""#3d4866"", ""#b3a9a2"", ""#55616d"", ""#020104"", ""#59210c"", ""#000002"", ""#ac4b2e"", ""#548db4"", ""#a6a19e"", ""#654423"", ""#24272e"", ""#918c8d"", ""#bed3eb"", ""#a49f9d"", ""#030201"", ""#b0a9a2"", ""#1b211d"", ""#020224"", ""#060822"", ""#b1aaa3"", ""#040416"", ""#040303"", ""#45475e"", ""#312c2f"", ""#211f16"", ""#382e1a"", ""#6d6f7b"", ""#3e7abd"", ""#aba5a1"", ""#79a1ba"", ""#221f16"", ""#efefec"", ""#232532"", ""#d0ced5"", ""#886e40"", ""#222230"", ""#08071a"", ""#664523"", ""#3a3121"", ""#38352d"", ""#666163"", ""#55210d"", ""#585e75"", ""#654523"", ""#575c74"", ""#5e657b"", ""#ad4b2e"", ""#1a207c"", ""#615352"", ""#d1a06a"", ""#4d493b"", ""#93adba"", ""#b24d2f"", ""#d1a16a"", ""#191e85"", ""#434b65"", ""#8a888b"", ""#b5cbdf"", ""#191e7f"", ""#f3f3ec"", ""#60a0c2"", ""#0c0801"", ""#020003"", ""#b2a57d"", ""#c0bec2"", ""#873117"", ""#769aaf"", ""#060607""], ""avg_faces_per_frame"": 0.23809523809523808, ""text_percentage"": 90.47619047619048, ""screen_recording_percentage"": 36.507936507936506}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
fdasf.mp4,87.7,"{""total_faces"": 184, ""text_frames"": 45, ""screen_recording_frames"": 163, ""scene_types"": {""simple_background"": 170, ""moderate_complexity"": 6}, ""dominant_colors"": [""#161920"", ""#4e5260"", ""#708096"", ""#a8bacb"", ""#95baca"", ""#adc8d5"", ""#748188"", ""#acbdcb"", ""#4f5699"", ""#363e55"", ""#a9bdcf"", ""#475e88"", ""#191d27"", ""#aec0ce"", ""#151a3d"", ""#a1b5c5"", ""#acd3e0"", ""#4a5163"", ""#1c212b"", ""#758398"", ""#758285"", ""#60718a"", ""#b5bfcf"", ""#f5f1ee"", ""#23262e"", ""#606791"", ""#1f1e27"", ""#93abc4"", ""#a4b6c2"", ""#b3c7d6"", ""#282e3e"", ""#171a21"", ""#838e9d"", ""#3c3fa8"", ""#728097"", ""#222738"", ""#4d6996"", ""#727e82"", ""#aacfdd"", ""#a8cbd4"", ""#1b1e25"", ""#adcddb"", ""#252c36"", ""#13151e"", ""#2c2f42"", ""#92bbc7"", ""#28292f"", ""#525570"", ""#31384a"", ""#5a6c84"", ""#a9becc"", ""#202632"", ""#9eb5c1"", ""#5a6d86"", ""#6f7f94"", ""#778387"", ""#717b79"", ""#22262e"", ""#9bbac3"", ""#9db6c1"", ""#b6cad9"", ""#25272b"", ""#91b2c3"", ""#1c202b"", ""#c1e1eb"", ""#26262d"", ""#5b708b"", ""#92aec1"", ""#9caabc"", ""#4242a6"", ""#94a6ba"", ""#a4bac8"", ""#202125"", ""#a5bfd0"", ""#919ca5"", ""#748285"", ""#242832"", ""#405885"", ""#9db8ca"", ""#3e40a8"", ""#5c6087"", ""#aa8212"", ""#121524"", ""#221a4b"", ""#242c37"", ""#22232d"", ""#75765b"", ""#162952"", ""#626c6e"", ""#121018"", ""#4c6e9c"", ""#98b2c7"", ""#748287"", ""#97adbf"", ""#a37911"", ""#a1bfca"", ""#111a44"", ""#516c85"", ""#797f83"", ""#657689"", ""#202229"", ""#84a0b4"", ""#94bcc6"", ""#a7830f"", ""#738592"", ""#708187"", ""#60616e"", ""#b4c5d4"", ""#8fb8cf"", ""#516e89"", ""#525c7d"", ""#1f242f"", ""#3f4a6f"", ""#242a3d"", ""#9fb0c4"", ""#54657a"", ""#597097"", ""#584c61"", ""#778584"", ""#1c2344"", ""#a2b9c1"", ""#a6b7c5"", ""#5b7086"", ""#1a1e28"", ""#707f94"", ""#1e232c"", ""#3c6196"", ""#4a668d"", ""#404692"", ""#1e2033"", ""#3f40a7"", ""#abbccb"", ""#1b1f29"", ""#acc1ce"", ""#9fbcc8"", ""#09162d"", ""#25282f"", ""#2e2c36"", ""#20273a"", ""#232232"", ""#a2b9c2"", ""#a98210"", ""#aabdcc"", ""#a4bfcb"", ""#6f797c"", ""#8fb0bf"", ""#101216"", ""#374158"", ""#69788f"", ""#151722"", ""#97afc8"", ""#222427"", ""#23262f"", ""#1f1f2f"", ""#242c36"", ""#a1b6c8"", ""#45678d"", ""#0c1c3d"", ""#1d1b1a"", ""#b0bccb"", ""#4c5a72"", ""#23272d"", ""#92a8c3"", ""#5d7086"", ""#14234d"", ""#444a73"", ""#a0b8c4"", ""#0e0d11"", ""#162256"", ""#9ec4cf"", ""#b7c2d1"", ""#22232c"", ""#464d9e"", ""#a9840f"", ""#58697e"", ""#afc5d3"", ""#b8c1d1"", ""#1b1f2a"", ""#8ab3ca"", ""#a7c0d4"", ""#93afba"", ""#3e4093"", ""#a5cdd7"", ""#1c2025"", ""#456892"", ""#81afb5"", ""#8daabb"", ""#1a1d23"", ""#718496"", ""#a6bbc4"", ""#3e4b9d"", ""#212328"", ""#708197"", ""#182444"", ""#222225"", ""#aebfcf"", ""#7c8383"", ""#788388"", ""#6a7a84"", ""#93acbd"", ""#202534"", ""#4d5d85"", ""#89c8d8"", ""#141720"", ""#9fb4c7"", ""#5c6a91"", ""#91a9c5"", ""#a0b4bd"", ""#485363"", ""#6f8199"", ""#596e85"", ""#101633"", ""#403133"", ""#a5c7d2"", ""#a7b9c8"", ""#b0cfde"", ""#a0b9c9"", ""#51546a"", ""#5b6f84"", ""#f13f28"", ""#26272e"", ""#131431"", ""#96acc2"", ""#92a8c1"", ""#f04028"", ""#22252d"", ""#aabbc9"", ""#1d2236"", ""#445390"", ""#546281"", ""#517093"", ""#b0c3d2"", ""#90b2cc"", ""#4140a5"", ""#5b6d82"", ""#201a2a"", ""#92bbce"", ""#202030"", ""#adc5d3"", ""#202536"", ""#93aaba"", ""#8da7b8"", ""#a1b8c4"", ""#20232c"", ""#b5bec6"", ""#0c1631"", ""#52556a"", ""#251d29"", ""#454b9d"", ""#98b4bc"", ""#afbecd"", ""#1d1a27"", ""#4e7291"", ""#3d3fa9"", ""#607485"", ""#8e9eb2"", ""#1d2332"", ""#423fa8"", ""#3d3fa7"", ""#b8c3d3"", ""#212634"", ""#9abdc8"", ""#abc2d4"", ""#0d1c3a"", ""#2a2f34"", ""#737e8c"", ""#1d222e"", ""#1e222c"", ""#b38a16"", ""#6f7d83"", ""#99a7ad"", ""#80a9b6"", ""#5b6c85"", ""#252932"", ""#9db0bf"", ""#636c8f"", ""#1f222b"", ""#4b6890"", ""#6f8095"", ""#161c3b"", ""#5f6997"", ""#92b1ba"", ""#738496"", ""#21242a"", ""#597283"", ""#63758c"", ""#6e7b82"", ""#54538d"", ""#0e1d3e"", ""#282c3b"", ""#a9bfcc"", ""#9db3c5"", ""#232a34"", ""#92a5ae"", ""#161d34"", ""#94b5bd"", ""#f8f5f2"", ""#191e26"", ""#787465"", ""#a7c0d3"", ""#505f8b"", ""#192238"", ""#b6ced3"", ""#8c99a0"", ""#768489"", ""#456287"", ""#3b464d"", ""#6a7a8f"", ""#212637"", ""#afc3d0"", ""#9fb6c2"", ""#4e7090"", ""#32323b"", ""#423fa7"", ""#94abc4"", ""#6e8096"", ""#768082"", ""#202434"", ""#2a2c3c"", ""#89b4c5"", ""#b4cadb"", ""#8eacc4"", ""#97b9c5"", ""#292930"", ""#222833"", ""#211d2b"", ""#616f90"", ""#111f40"", ""#98b4be"", ""#303339"", ""#2e1cc0"", ""#151721"", ""#1c212c"", ""#261f4d"", ""#596b7f"", ""#25272c"", ""#a6bccb"", ""#121522"", ""#1e2430"", ""#51536b"", ""#9dc9e4"", ""#9eb7c3"", ""#86a2b6"", ""#b1c8d8"", ""#bfc7dd"", ""#16254d"", ""#5a6486"", ""#1c1925"", ""#111a34"", ""#9bb8c9"", ""#606f82"", ""#9fb2c5"", ""#475b92"", ""#9cbbc5"", ""#a7becc"", ""#405d84"", ""#b7c0d0"", ""#91abb7"", ""#92a5b5"", ""#b2c6d5"", ""#8fabc4"", ""#5a698e"", ""#86a6af"", ""#b0c2d1"", ""#21252e"", ""#4441a7"", ""#171a2d"", ""#1a2238"", ""#4340a5"", ""#aac2d5"", ""#6e7b7d"", ""#24262d"", ""#a3b7c6"", ""#a2bdc9"", ""#202228"", ""#232834"", ""#8fa8c4"", ""#445066"", ""#bbc1d3"", ""#1f2127"", ""#485a80"", ""#748596"", ""#1d222d"", ""#272328"", ""#5d6f8b"", ""#444f66"", ""#1e263a"", ""#636a9a"", ""#a6c8d5"", ""#778081"", ""#6d8199"", ""#27292e"", ""#1e222e"", ""#4f6889"", ""#1f1e2d"", ""#a5b9c2"", ""#abc0ce"", ""#9db5c1"", ""#191b25"", ""#252338"", ""#2a2524"", ""#b0bdcc"", ""#82a6b5"", ""#9fb9c3"", ""#22252c"", ""#0b1731"", ""#1e222b"", ""#25252c"", ""#39449c"", ""#778488"", ""#90a4b5"", ""#b1c2d2"", ""#21242e"", ""#5c6d82"", ""#6c7e91"", ""#737b7e"", ""#0e142b"", ""#28282c"", ""#93aac2"", ""#16131b"", ""#536d92"", ""#413da7"", ""#4d5965"", ""#a6d0de"", ""#9cb5c1"", ""#a9bbc9"", ""#a1b5c4"", ""#758691"", ""#11141d"", ""#222834"", ""#778486"", ""#47618f"", ""#5a6d83"", ""#b3c8d5"", ""#1e2128"", ""#436b98"", ""#496290"", ""#536d93"", ""#5a6578"", ""#283032"", ""#9cb4bf"", ""#abbac0"", ""#6f8086"", ""#3d5c80"", ""#b0bcca"", ""#3c5386"", ""#23242a"", ""#1f222a"", ""#75828a"", ""#5e6395"", ""#0d102f"", ""#1e2630"", ""#aac5d0"", ""#9bb0ba"", ""#6a7b91"", ""#3e4d98"", ""#798486"", ""#4d6b95"", ""#96aebe"", ""#25272f"", ""#92abbd"", ""#1b202b"", ""#0f1f44"", ""#9abbc3"", ""#728296"", ""#1a161e"", ""#d8dbde"", ""#8facc5"", ""#0f121b"", ""#51678a"", ""#191621"", ""#98b4c0"", ""#212329"", ""#161820"", ""#211f29"", ""#95b3bd"", ""#8ebaca"", ""#8badb8"", ""#1b1e3d"", ""#1e2333"", ""#111017"", ""#8fa0b3"", ""#8fabbf"", ""#758186"", ""#a8b9c7"", ""#647083"", ""#13182f"", ""#74838f"", ""#20222c"", ""#536475"", ""#27292f"", ""#5f6071"", ""#28282e"", ""#b3bfcf"", ""#121931"", ""#788486"", ""#212739"", ""#738085"", ""#232c36"", ""#82a4b1"", ""#1b2028"", ""#a7bcc6"", ""#201f2c"", ""#272833"", ""#85bbc5"", ""#adc0cf"", ""#b18911"", ""#9fadb6"", ""#212734"", ""#9cb6ca"", ""#838a86"", ""#21232b"", ""#3f537d"", ""#9bb1be""], ""avg_faces_per_frame"": 1.0454545454545454, ""text_percentage"": 25.568181818181817, ""screen_recording_percentage"": 92.61363636363636}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
TikTok Duolingo Video.mp4,7.366666666666666,"{""total_faces"": 0, ""text_frames"": 15, ""screen_recording_frames"": 5, ""scene_types"": {""simple_background"": 15}, ""dominant_colors"": [""#6ab468"", ""#1f2418"", ""#6bb269"", ""#fafaf9"", ""#1e2418"", ""#6bb369"", ""#f9faf9"", ""#1e2316"", ""#1d2316"", ""#6ab268"", ""#f8faf9"", ""#1e2317"", ""#1e2417"", ""#1d2216"", ""#69b467""], ""avg_faces_per_frame"": 0.0, ""text_percentage"": 100.0, ""screen_recording_percentage"": 33.33333333333333}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
AQNgl4rYcHGI3yxkG_lo8ATwvmPDa9qKTaXp55-BErvCHdS8pfkRmMnjB4BpawE9R3KUjEB4eeKsQX-0WvBRQ0lp6_16Nt_ywqJoBmw.mp4,51.6,"{""total_faces"": 144, ""text_frames"": 95, ""screen_recording_frames"": 93, ""scene_types"": {""simple_background"": 75, ""moderate_complexity"": 29}, ""dominant_colors"": [""#cfbdbd"", ""#718291"", ""#a7b3c2"", ""#354055"", ""#737a88"", ""#4c5a68"", ""#191a2b"", ""#b6b9c1"", ""#a3b0bd"", ""#d0ccca"", ""#9b9fb5"", ""#5e6782"", ""#332f35"", ""#26232f"", ""#b8c0d1"", ""#1e1f30"", ""#352f36"", ""#1b2247"", ""#1b2146"", ""#1b1828"", ""#251f35"", ""#768899"", ""#1e2029"", ""#a95a1b"", ""#60626b"", ""#3d3b4c"", ""#bfbec4"", ""#727882"", ""#c0c4cc"", ""#68798b"", ""#5f6f80"", ""#1b1524"", ""#5d697c"", ""#b5bcc4"", ""#7887a9"", ""#3c517c"", ""#2a272f"", ""#acadbb"", ""#707783"", ""#a6abb1"", ""#6c7fa6"", ""#1c1625"", ""#32333e"", ""#75657b"", ""#7d8c9a"", ""#746479"", ""#383437"", ""#20212d"", ""#302931"", ""#9499a3"", ""#27252b"", ""#98a3ad"", ""#93a5c5"", ""#1a1a22"", ""#27242c"", ""#b8bcc0"", ""#2d333d"", ""#6d737a"", ""#716b6d"", ""#5e7c91"", ""#aa5a1b"", ""#bbbfc6"", ""#bfc2c9"", ""#696b7a"", ""#2c2633"", ""#5a6370"", ""#97abcc"", ""#2c2f3a"", ""#5f6161"", ""#5c6882"", ""#2a262e"", ""#3b3131"", ""#232b37"", ""#9ba4ae"", ""#352f34"", ""#757b88"", ""#a3a6af"", ""#686c7d"", ""#babec2"", ""#a5aab1"", ""#717278"", ""#626e86"", ""#354054"", ""#b0bdd1"", ""#666675"", ""#b9bbc0"", ""#b7b7c2"", ""#a2b1bf"", ""#3e444c"", ""#637d91"", ""#28273e"", ""#212130"", ""#566071"", ""#c1c3cb"", ""#1c2248"", ""#282227"", ""#2a2e3b"", ""#d7d5d6"", ""#353235"", ""#26242a"", ""#b9bdc2"", ""#b0b4ba"", ""#3b4049"", ""#b7b9c1"", ""#ef3206"", ""#3b507b"", ""#a5b7d2"", ""#6d7281"", ""#90abd0"", ""#2a2e3a"", ""#757b85"", ""#667491"", ""#21222f"", ""#b7c0d1"", ""#292d3a"", ""#bcbfc6"", ""#b6b8c0"", ""#231f25"", ""#0f192a"", ""#29242c"", ""#b4becf"", ""#422c39"", ""#87abcf"", ""#5481a1"", ""#68799e"", ""#5a6581"", ""#a5b2bf"", ""#2b272e"", ""#191a24"", ""#a4adc3"", ""#a6b5c6"", ""#b1afbf"", ""#2d313d"", ""#6a717a"", ""#666e7e"", ""#22222f"", ""#bec3cb"", ""#212732"", ""#5f6489"", ""#1d202b"", ""#a3abba"", ""#bfc2cd"", ""#acb0bc"", ""#a6a7b1"", ""#a7abb2"", ""#6b7884"", ""#aeb1b9"", ""#161f30"", ""#353338"", ""#292d37"", ""#73716a"", ""#626f8a"", ""#a3b2c3"", ""#97b5d0"", ""#677c99"", ""#bebfca"", ""#a4b4bb"", ""#acaeb9"", ""#75838f"", ""#717782"", ""#3a3b4f"", ""#788594"", ""#1f2837"", ""#697ba2"", ""#627988"", ""#28242b"", ""#2b293b"", ""#62656d"", ""#4c6f8e"", ""#342d36"", ""#bec2c9"", ""#0d0c0f"", ""#20222d"", ""#2d303d"", ""#302b33"", ""#111013"", ""#5c6186"", ""#bccad8"", ""#6a6b7a"", ""#a5a5b8"", ""#22212f"", ""#939eb0"", ""#463039"", ""#22232d"", ""#a9b3c3"", ""#30333f"", ""#353f54"", ""#99a9bd"", ""#93a4c9"", ""#342e35"", ""#b4bdcf"", ""#1c273c"", ""#6b7987"", ""#416e8f"", ""#757b84"", ""#202030"", ""#a5abb1"", ""#656f78"", ""#656e7e"", ""#b3c2da"", ""#6a798e"", ""#585a6a"", ""#b0b9c8"", ""#667b98"", ""#6b7178"", ""#617587"", ""#546f8b"", ""#727176"", ""#6a7078"", ""#afbccc"", ""#657b88"", ""#9db6cf"", ""#64636f"", ""#222230"", ""#37343a"", ""#5a5c65"", ""#2e3037"", ""#c0bdbf"", ""#3e3b4c"", ""#b7b9c0"", ""#c0bfcb"", ""#a8afb6"", ""#657b89"", ""#746378"", ""#62656f"", ""#868faa"", ""#d4d0ce"", ""#6c7483"", ""#949faa"", ""#646a77"", ""#666172"", ""#a9afb6"", ""#9aa9ca"", ""#767678"", ""#272127"", ""#212634"", ""#111012"", ""#586273"", ""#687c8e"", ""#3b3b3c"", ""#282131"", ""#313743"", ""#422f3d"", ""#60667a"", ""#5b6378"", ""#bbbdc4"", ""#5d6571"", ""#94a1b8"", ""#b5b9bd"", ""#222b36"", ""#b4bbc3"", ""#1c1d2e"", ""#98a3b0"", ""#28384b"", ""#2e2b31"", ""#636f86"", ""#abb3b9"", ""#656e7d"", ""#babdca"", ""#342e34"", ""#9fa3b9"", ""#767c86"", ""#2a2840"", ""#2d3542"", ""#b2bfd2"", ""#ee3206"", ""#58606f"", ""#92a6c6"", ""#a8a9c1"", ""#29394a"", ""#343237"", ""#a3b1bf"", ""#a0a9b8"", ""#616c75"", ""#a2b0bd"", ""#a5b5c5"", ""#bebeca"", ""#1a1828"", ""#b2b5c2"", ""#273648"", ""#646d77"", ""#91a2ae"", ""#343e52"", ""#666f78"", ""#2c4157"", ""#686364"", ""#427293"", ""#1c1726"", ""#a3a9b0""], ""avg_faces_per_frame"": 1.3846153846153846, ""text_percentage"": 91.34615384615384, ""screen_recording_percentage"": 89.42307692307693}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
TikTok Omada US.mp4,35.8,"{""total_faces"": 127, ""text_frames"": 38, ""screen_recording_frames"": 72, ""scene_types"": {""moderate_complexity"": 72}, ""dominant_colors"": [""#c8cccb"", ""#738493"", ""#5a697d"", ""#1a1617"", ""#728393"", ""#607186"", ""#6e7f8d"", ""#6d7d8d"", ""#627385"", ""#c8ccca"", ""#151316"", ""#ced1cf"", ""#6e7d8b"", ""#191619"", ""#71808e"", ""#1a1718"", ""#151113"", ""#6c7e8e"", ""#1c181b"", ""#5e6e84"", ""#cacece"", ""#c9cdcc"", ""#cdd0d0"", ""#1d1716"", ""#5f6d81"", ""#c6cac5"", ""#1b1717"", ""#191518"", ""#c2c9c9"", ""#6f7f8e"", ""#171518"", ""#728292"", ""#6c7f90"", ""#ccd0ce"", ""#1a181b"", ""#c2cbce"", ""#5d6e83"", ""#6e8091"", ""#c5c9c9"", ""#718292"", ""#5d6c7f"", ""#708292"", ""#cbcfce"", ""#1a171a"", ""#627288"", ""#5c6a7e"", ""#1c1718"", ""#1b1819"", ""#c3ccce"", ""#738393"", ""#1a1819"", ""#718191"", ""#5e6d81"", ""#c6cbcb"", ""#c5c9ca"", ""#1a161a"", ""#c7cbca"", ""#c4c8c8"", ""#cbcfcd"", ""#cccfcf"", ""#c7caca"", ""#c3c9c9"", ""#748594"", ""#c8cac7"", ""#c0c8cc"", ""#bcc5c8"", ""#171418"", ""#1b181b"", ""#cccfce"", ""#c1c8c9"", ""#6c7d8e"", ""#c6caca"", ""#c8cac6"", ""#c4c9ca"", ""#708190"", ""#c9cac7"", ""#171417"", ""#6c7d8d"", ""#181518"", ""#6d7e8f"", ""#c4c8c5"", ""#1a1515"", ""#c5c9c8"", ""#c5caca"", ""#161417"", ""#c6cac9"", ""#c7cbcb"", ""#6d7e8d"", ""#19161a"", ""#5c6c80"", ""#708191"", ""#1a1719"", ""#c4c8c9"", ""#c1c8ca"", ""#6d7d8e"", ""#1a181a"", ""#181517"", ""#bfc6c7"", ""#58677b"", ""#181417"", ""#606f80"", ""#c3c8c9"", ""#1e1817"", ""#5f6e81"", ""#6d7f8f"", ""#6f8190"", ""#1b171a"", ""#1a1518"", ""#c1c7c8"", ""#58657a"", ""#697e94"", ""#bfc6c9"", ""#5f6c7f"", ""#181619"", ""#181519"", ""#1b1616"", ""#6d7f90"", ""#bec5c8"", ""#1b171b"", ""#6d7e8e"", ""#1b181a"", ""#b8c2c8"", ""#1d181a"", ""#c9cbc8"", ""#6e7e8e"", ""#161316"", ""#c6cbca"", ""#1c181a"", ""#c4cacb"", ""#bbc4c8"", ""#6c7e8f"", ""#19171a"", ""#59687b"", ""#70808f"", ""#1c191b"", ""#1d191b"", ""#5f6f82"", ""#6e7f8e"", ""#bfc7c7"", ""#5f6f84"", ""#c2caca"", ""#c7c9c6"", ""#708291"", ""#5d6e84"", ""#6f8090"", ""#627389"", ""#c4c9c9"", ""#1b1718"", ""#6e7f90""], ""avg_faces_per_frame"": 1.7638888888888888, ""text_percentage"": 52.77777777777778, ""screen_recording_percentage"": 100.0}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
