video_filename,duration,social_media_content,audio_features
TikTok Sleep Cycle.mp4,30.0,"{""total_faces"": 1, ""text_frames"": 6, ""screen_recording_frames"": 3, ""scene_types"": {""simple_background"": 5, ""moderate_complexity"": 1}, ""dominant_colors"": [""#b0a7a1"", ""#5d5355"", ""#000002"", ""#010123"", ""#1a207c"", ""#22222f"", ""#93adba"", ""#433924"", ""#ad4c2e"", ""#548db4"", ""#020101"", ""#56210d"", ""#09091d"", ""#595542"", ""#b1aaa3"", ""#0d0808"", ""#586078"", ""#070707""], ""avg_faces_per_frame"": 0.16666666666666666, ""text_percentage"": 100.0, ""screen_recording_percentage"": 50.0}","{""mfccs_mean"": [-307.9549560546875, 97.77388000488281, 13.808769226074219, 33.97490692138672, 6.343980312347412, -2.6685945987701416, -5.061981678009033, -11.697966575622559, -0.6333798766136169, -0.6617118716239929, -4.672870635986328, 2.8350279331207275, -8.925067901611328], ""tempo"": 161.4990234375, ""spectral_centroid_mean"": 2272.1306696844836}"
fdasf.mp4,87.7,"{""total_faces"": 15, ""text_frames"": 5, ""screen_recording_frames"": 16, ""scene_types"": {""simple_background"": 18}, ""dominant_colors"": [""#25272f"", ""#4a668d"", ""#1e2630"", ""#a7b9c8"", ""#232c36"", ""#9db6c1"", ""#b0bdcc"", ""#60616e"", ""#1b2028"", ""#597283"", ""#b1c2d2"", ""#606791"", ""#95baca"", ""#23262e"", ""#171a2d"", ""#23242a"", ""#3c3fa8"", ""#b6ced3"", ""#111a34"", ""#191d27"", ""#a5c7d2"", ""#778488"", ""#2a2524"", ""#1f2127"", ""#14234d"", ""#748188"", ""#86a6af"", ""#b5bec6"", ""#6f7d83"", ""#768082"", ""#9db3c5"", ""#1c212b"", ""#4e7090"", ""#141720"", ""#2a2c3c"", ""#211d2b"", ""#3b464d"", ""#8e9eb2"", ""#485363"", ""#a7becc"", ""#1d2236"", ""#8eacc4"", ""#a2bdc9"", ""#2e1cc0"", ""#92b1ba"", ""#b18911"", ""#475b92"", ""#5b7086"", ""#afc3d0"", ""#708187"", ""#5b708b"", ""#a8cbd4"", ""#4b6890"", ""#92bbc7""], ""avg_faces_per_frame"": 0.8333333333333334, ""text_percentage"": 27.77777777777778, ""screen_recording_percentage"": 88.88888888888889}","{""mfccs_mean"": [-196.43496704101562, 101.56778717041016, 5.022974967956543, 37.605587005615234, 0.3817543685436249, 17.94138526916504, -17.243408203125, 5.726888179779053, -14.728506088256836, -0.07252044975757599, -8.667073249816895, -6.000303268432617, -3.705474376678467], ""tempo"": 123.046875, ""spectral_centroid_mean"": 2043.23705075911}"
TikTok Duolingo Video.mp4,7.366666666666666,"{""total_faces"": 0, ""text_frames"": 2, ""screen_recording_frames"": 1, ""scene_types"": {""simple_background"": 2}, ""dominant_colors"": [""#1d2216"", ""#69b467"", ""#6bb269"", ""#1f2418"", ""#f9faf9""], ""avg_faces_per_frame"": 0.0, ""text_percentage"": 100.0, ""screen_recording_percentage"": 50.0}","{""mfccs_mean"": [-332.5401306152344, 63.304927825927734, -10.37865924835205, 0.49921613931655884, -21.190671920776367, -17.244094848632812, -0.6004287600517273, -8.037590980529785, -10.689689636230469, -12.451629638671875, -8.892739295959473, -3.954589366912842, -6.004734039306641], ""tempo"": 172.265625, ""spectral_centroid_mean"": 2788.9516543819645}"
AQNgl4rYcHGI3yxkG_lo8ATwvmPDa9qKTaXp55-BErvCHdS8pfkRmMnjB4BpawE9R3KUjEB4eeKsQX-0WvBRQ0lp6_16Nt_ywqJoBmw.mp4,51.6,"{""total_faces"": 14, ""text_frames"": 10, ""screen_recording_frames"": 10, ""scene_types"": {""simple_background"": 6, ""moderate_complexity"": 5}, ""dominant_colors"": [""#191a2b"", ""#566071"", ""#627988"", ""#696b7a"", ""#342e34"", ""#5d697c"", ""#30333f"", ""#2a2e3a"", ""#a7b3c2"", ""#a3a9b0"", ""#b5bcc4"", ""#bbbfc6"", ""#a3a6af"", ""#686364"", ""#a5abb1"", ""#2d303d"", ""#b5b9bd"", ""#6b7884"", ""#292d37"", ""#353235"", ""#1e2029"", ""#5c6186"", ""#21222f"", ""#28242b"", ""#b1afbf"", ""#75838f"", ""#616c75"", ""#b0b4ba"", ""#6b7178"", ""#251f35"", ""#bcbfc6"", ""#5e7c91"", ""#93a5c5""], ""avg_faces_per_frame"": 1.2727272727272727, ""text_percentage"": 90.9090909090909, ""screen_recording_percentage"": 90.9090909090909}","{""mfccs_mean"": [-141.00025939941406, 84.44911193847656, -9.560174942016602, 22.592910766601562, -7.30147647857666, 8.10698127746582, -15.643436431884766, -1.372943639755249, -8.639857292175293, 1.8017452955245972, -2.9245822429656982, 5.140687942504883, -12.543060302734375], ""tempo"": 151.99908088235293, ""spectral_centroid_mean"": 2515.922944184592}"
TikTok Omada US.mp4,35.8,"{""total_faces"": 14, ""text_frames"": 3, ""screen_recording_frames"": 8, ""scene_types"": {""moderate_complexity"": 8}, ""dominant_colors"": [""#1b171a"", ""#1a171a"", ""#c7cbcb"", ""#c3ccce"", ""#181619"", ""#c6cbcb"", ""#5f6d81"", ""#c4c8c5"", ""#6d7f90"", ""#c5c9ca"", ""#607186"", ""#1a181b"", ""#c5caca"", ""#6d7e8d"", ""#151316"", ""#718292"", ""#c2caca"", ""#1a1515"", ""#1e1817"", ""#c3c9c9"", ""#606f80"", ""#6c7e8f"", ""#718191""], ""avg_faces_per_frame"": 1.75, ""text_percentage"": 37.5, ""screen_recording_percentage"": 100.0}","{""mfccs_mean"": [-270.753173828125, 107.60875701904297, -2.947483539581299, 10.748620986938477, -1.1205894947052002, -3.3653829097747803, -1.755069613456726, -6.549314022064209, -14.079307556152344, -1.6178079843521118, -5.096621513366699, 0.5521870851516724, -1.6030067205429077], ""tempo"": 103.359375, ""spectral_centroid_mean"": 1721.135664916354}"
