video_filename,duration,social_media_content,audio_features
TikTok Sleep Cycle.mp4,30.0,"{""total_faces"": 4, ""text_frames"": 28, ""screen_recording_frames"": 11, ""scene_types"": {""simple_background"": 26, ""moderate_complexity"": 4}, ""dominant_colors"": [""#595e76"", ""#030103"", ""#08071a"", ""#22222f"", ""#786139"", ""#0d0808"", ""#a9c7ea"", ""#0b0501"", ""#bcb7b0"", ""#0d0903"", ""#b6a8a0"", ""#7c797f"", ""#21222f"", ""#56200d"", ""#1c190f"", ""#ebf3f4"", ""#0d0801"", ""#93adba"", ""#ad4b2e"", ""#b14d2f"", ""#a6a3a3"", ""#b6b3c3"", ""#9c99a6"", ""#030201"", ""#d1a16b"", ""#60a0c2"", ""#d1a16a"", ""#9db2bf"", ""#a4c2de"", ""#b0a7a1"", ""#232532"", ""#090809"", ""#000002"", ""#674625"", ""#09071b"", ""#f1f8fa"", ""#79a1b9"", ""#212526"", ""#5a96bb"", ""#545256"", ""#1c211d"", ""#020003"", ""#1a1a26"", ""#020101"", ""#09091d"", ""#56210d"", ""#b78b5f"", ""#5d5355"", ""#7d7979"", ""#548db4"", ""#908c8d"", ""#0a0501"", ""#433924"", ""#a19571"", ""#1a2083"", ""#664523"", ""#1a207c"", ""#5b401f"", ""#ad4c2e"", ""#b7a99f"", ""#d2a16a"", ""#615351"", ""#0e0706"", ""#595542"", ""#a6a19e"", ""#5d657b"", ""#586078"", ""#8a888b"", ""#654523"", ""#57200d"", ""#b1a9a3"", ""#070707"", ""#060821"", ""#45485f"", ""#1f2d39"", ""#b1aaa3"", ""#020124"", ""#1a1e81"", ""#010123"", ""#615352"", ""#030223"", ""#54616d"", ""#94bbe2"", ""#201d13"", ""#a3b3b6""], ""avg_faces_per_frame"": 0.13333333333333333, ""text_percentage"": 93.33333333333333, ""screen_recording_percentage"": 36.666666666666664}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
fdasf.mp4,87.7,"{""total_faces"": 85, ""text_frames"": 24, ""screen_recording_frames"": 83, ""scene_types"": {""simple_background"": 84, ""moderate_complexity"": 4}, ""dominant_colors"": [""#161c3b"", ""#1a2238"", ""#a0b4bd"", ""#9db0bf"", ""#778584"", ""#90a4b5"", ""#505f8b"", ""#4d5965"", ""#1e222b"", ""#1c212c"", ""#788486"", ""#b7c0d0"", ""#93aac2"", ""#92a5ae"", ""#6e7b7d"", ""#a7becc"", ""#525570"", ""#adc0cf"", ""#22252c"", ""#94a6ba"", ""#abbac0"", ""#737b7e"", ""#74838f"", ""#aabbc9"", ""#b1c2d2"", ""#9cb6ca"", ""#708197"", ""#436b98"", ""#aac5d0"", ""#23242a"", ""#252c36"", ""#201f2c"", ""#0d102f"", ""#9cb4bf"", ""#748188"", ""#8e9eb2"", ""#758691"", ""#a9bfcc"", ""#60616e"", ""#11141d"", ""#516e89"", ""#b8c1d1"", ""#9fbcc8"", ""#797f83"", ""#aacfdd"", ""#9db5c1"", ""#1f1e2d"", ""#6f8086"", ""#737e8c"", ""#adcddb"", ""#6f7d83"", ""#23272d"", ""#1d2332"", ""#13182f"", ""#2a2c3c"", ""#a0b8c4"", ""#1e2128"", ""#2e2c36"", ""#222427"", ""#f13f28"", ""#202229"", ""#1e2630"", ""#9fb2c5"", ""#1d2236"", ""#9db6c1"", ""#718496"", ""#16131b"", ""#5b6d82"", ""#25272f"", ""#3e4093"", ""#a6bbc4"", ""#97adbf"", ""#a5bfd0"", ""#5f6071"", ""#a2b9c2"", ""#4b6890"", ""#8fb8cf"", ""#1f242f"", ""#95b3bd"", ""#92aec1"", ""#adc5d3"", ""#9cb5c1"", ""#b4c5d4"", ""#748285"", ""#456892"", ""#0e1d3e"", ""#405d84"", ""#93abc4"", ""#272328"", ""#6a7b91"", ""#485363"", ""#0e142b"", ""#738496"", ""#a7b9c8"", ""#3c3fa8"", ""#596b7f"", ""#222833"", ""#92abbd"", ""#20273a"", ""#5b708b"", ""#09162d"", ""#211d2b"", ""#98b4be"", ""#748287"", ""#1b1e25"", ""#a2bdc9"", ""#1f222a"", ""#afc3d0"", ""#22262e"", ""#91a9c5"", ""#8fb0bf"", ""#9abdc8"", ""#111a34"", ""#546281"", ""#597283"", ""#708187"", ""#212328"", ""#475b92"", ""#3f537d"", ""#47618f"", ""#92bbc7"", ""#5c6087"", ""#758398"", ""#b0bdcc"", ""#1d222d"", ""#aabdcc"", ""#23262e"", ""#2a2f34"", ""#606f82"", ""#a7c0d4"", ""#51546a"", ""#b5bec6"", ""#161820"", ""#536d92"", ""#597097"", ""#596e85"", ""#28282e"", ""#b2c6d5"", ""#1f2127"", ""#5a6d83"", ""#a1b8c4"", ""#b3c8d5"", ""#9db3c5"", ""#85bbc5"", ""#9ec4cf"", ""#717b79"", ""#1c212b"", ""#1b1f2a"", ""#22232c"", ""#92b1ba"", ""#a7c0d3"", ""#14234d"", ""#4e7090"", ""#1e263a"", ""#1a1d23"", ""#919ca5"", ""#626c6e"", ""#a98210"", ""#1b2028"", ""#202125"", ""#111f40"", ""#151721"", ""#8fabbf"", ""#4f5699"", ""#80a9b6"", ""#24262d"", ""#a4bac8"", ""#161920"", ""#1d222e"", ""#201a2a"", ""#4f6889"", ""#52556a"", ""#607485"", ""#374158"", ""#9bbac3"", ""#0f1f44"", ""#768082"", ""#8fabc4"", ""#4a668d"", ""#232c36"", ""#acd3e0"", ""#b7c2d1"", ""#28282c"", ""#a3b7c6"", ""#82a6b5"", ""#141720"", ""#6f797c"", ""#202536"", ""#2a2524"", ""#464d9e"", ""#1f1f2f"", ""#282e3e"", ""#aebfcf"", ""#404692"", ""#212734"", ""#6f8095"", ""#3c5386"", ""#191d27"", ""#21252e"", ""#27292e"", ""#3f40a7"", ""#151722"", ""#b6cad9"", ""#606791"", ""#b6ced3"", ""#2e1cc0"", ""#27292f"", ""#92bbce"", ""#707f94"", ""#0c1631"", ""#111017"", ""#4c6e9c"", ""#3e4d98"", ""#69788f"", ""#4340a5"", ""#b0bccb"", ""#8ab3ca"", ""#3d3fa7"", ""#a8b9c7"", ""#a8bacb"", ""#a6bccb"", ""#4140a5"", ""#261f4d"", ""#5b6f84"", ""#171a2d"", ""#26262d"", ""#86a6af"", ""#1a1e28"", ""#b4cadb"", ""#211f29"", ""#191621"", ""#a5c7d2"", ""#20222c"", ""#96aebe"", ""#54657a"", ""#a8cbd4"", ""#5d7086"", ""#95baca"", ""#192238"", ""#191e26"", ""#445066"", ""#778488"", ""#3b464d"", ""#212329"", ""#5e6395"", ""#b0bcca"", ""#6a7a84"", ""#8eacc4"", ""#a4b6c2"", ""#202434"", ""#787465"", ""#5a6486"", ""#98b2c7"", ""#413da7"", ""#3f4a6f"", ""#99a7ad"", ""#b18911"", ""#f5f1ee"", ""#101216"", ""#92a8c3"", ""#6c7e91"", ""#5b7086""], ""avg_faces_per_frame"": 0.9659090909090909, ""text_percentage"": 27.27272727272727, ""screen_recording_percentage"": 94.31818181818183}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
TikTok Duolingo Video.mp4,7.366666666666666,"{""total_faces"": 0, ""text_frames"": 8, ""screen_recording_frames"": 3, ""scene_types"": {""simple_background"": 8}, ""dominant_colors"": [""#f8faf9"", ""#f9faf9"", ""#1e2418"", ""#6bb369"", ""#1e2317"", ""#1d2216"", ""#1e2417"", ""#6bb269"", ""#1f2418"", ""#69b467""], ""avg_faces_per_frame"": 0.0, ""text_percentage"": 100.0, ""screen_recording_percentage"": 37.5}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
AQNgl4rYcHGI3yxkG_lo8ATwvmPDa9qKTaXp55-BErvCHdS8pfkRmMnjB4BpawE9R3KUjEB4eeKsQX-0WvBRQ0lp6_16Nt_ywqJoBmw.mp4,51.6,"{""total_faces"": 69, ""text_frames"": 48, ""screen_recording_frames"": 47, ""scene_types"": {""simple_background"": 35, ""moderate_complexity"": 17}, ""dominant_colors"": [""#616c75"", ""#27242c"", ""#a4adc3"", ""#94a1b8"", ""#1e2029"", ""#bfc2c9"", ""#21222f"", ""#313743"", ""#a2b0bd"", ""#718291"", ""#b5bcc4"", ""#302b33"", ""#b1afbf"", ""#627988"", ""#99a9bd"", ""#29394a"", ""#353338"", ""#93a4c9"", ""#727882"", ""#73716a"", ""#342d36"", ""#231f25"", ""#bbbfc6"", ""#b0bdd1"", ""#1a1828"", ""#292d3a"", ""#585a6a"", ""#251f35"", ""#292d37"", ""#686364"", ""#667491"", ""#1b2146"", ""#68799e"", ""#ef3206"", ""#667b98"", ""#868faa"", ""#bbbdc4"", ""#5a6581"", ""#b5b9bd"", ""#677c99"", ""#2a262e"", ""#9499a3"", ""#656f78"", ""#d7d5d6"", ""#5a6370"", ""#272127"", ""#a3a6af"", ""#75838f"", ""#636f86"", ""#273648"", ""#c0bdbf"", ""#6b7178"", ""#6b7884"", ""#afbccc"", ""#3b507b"", ""#abb3b9"", ""#babec2"", ""#422c39"", ""#202030"", ""#383437"", ""#b8c0d1"", ""#687c8e"", ""#9db6cf"", ""#222b36"", ""#bfc2cd"", ""#30333f"", ""#28242b"", ""#c0c4cc"", ""#2d303d"", ""#757b84"", ""#939eb0"", ""#87abcf"", ""#93a5c5"", ""#b0b9c8"", ""#b7b9c1"", ""#2b293b"", ""#657b89"", ""#566071"", ""#22212f"", ""#bebfca"", ""#191a2b"", ""#3d3b4c"", ""#b7b7c2"", ""#64636f"", ""#5e7c91"", ""#97b5d0"", ""#352f36"", ""#2a2e3a"", ""#2c4157"", ""#746479"", ""#9ba4ae"", ""#757b88"", ""#acadbb"", ""#b3c2da"", ""#666e7e"", ""#a5abb1"", ""#a5a5b8"", ""#1e1f30"", ""#1f2837"", ""#354055"", ""#546f8b"", ""#212732"", ""#2a2840"", ""#6d7281"", ""#949faa"", ""#3a3b4f"", ""#5d697c"", ""#161f30"", ""#788594"", ""#a7b3c2"", ""#2c2633"", ""#343237"", ""#767c86"", ""#5c6186"", ""#342e34"", ""#2b272e"", ""#a95a1b"", ""#5a5c65"", ""#696b7a"", ""#a3b0bd"", ""#427293"", ""#acb0bc"", ""#20222d"", ""#a4b4bb"", ""#6a798e"", ""#a0a9b8"", ""#b4bdcf"", ""#5481a1"", ""#4c5a68"", ""#656e7d"", ""#5b6378"", ""#62656d"", ""#353235"", ""#b0b4ba"", ""#1a1a22"", ""#bcbfc6"", ""#a6abb1"", ""#212634"", ""#a5b5c5"", ""#686c7d"", ""#6a7078"", ""#343e52"", ""#1c1625"", ""#a3a9b0"", ""#60626b"", ""#111013"", ""#68798b"", ""#727176"", ""#767678"", ""#27252b"", ""#b6b9c1"", ""#58606f""], ""avg_faces_per_frame"": 1.3269230769230769, ""text_percentage"": 92.3076923076923, ""screen_recording_percentage"": 90.38461538461539}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
TikTok Omada US.mp4,35.8,"{""total_faces"": 64, ""text_frames"": 18, ""screen_recording_frames"": 36, ""scene_types"": {""moderate_complexity"": 36}, ""dominant_colors"": [""#1b1819"", ""#19161a"", ""#c5c9ca"", ""#708291"", ""#c4cacb"", ""#151316"", ""#748594"", ""#c8cac6"", ""#1a171a"", ""#6f8090"", ""#1a1718"", ""#1a181b"", ""#728393"", ""#c4c8c5"", ""#70808f"", ""#1a181a"", ""#1b171b"", ""#c5caca"", ""#6e7f8d"", ""#1a1515"", ""#c3ccce"", ""#cdd0d0"", ""#bfc6c9"", ""#c1c8ca"", ""#1b181a"", ""#cbcfcd"", ""#1a1719"", ""#718292"", ""#c3c8c9"", ""#ced1cf"", ""#738493"", ""#708191"", ""#697e94"", ""#606f80"", ""#6e7f8e"", ""#1d191b"", ""#1b1718"", ""#6c7f90"", ""#161316"", ""#607186"", ""#c6cbcb"", ""#1a1518"", ""#c5c9c9"", ""#1a161a"", ""#5d6e83"", ""#718191"", ""#cacece"", ""#5e6d81"", ""#6d7e8e"", ""#627389"", ""#c8cac7"", ""#c4c8c8"", ""#5d6e84"", ""#181519"", ""#1b171a"", ""#c2caca"", ""#6c7e8f"", ""#5c6c80"", ""#c6cac9"", ""#bfc6c7"", ""#738393"", ""#6c7e8e"", ""#bfc7c7"", ""#6d7e8d"", ""#6f8190"", ""#c7cbcb"", ""#5f6d81"", ""#c9cdcc"", ""#1c181a"", ""#6d7f90"", ""#c1c7c8"", ""#181619"", ""#1a1819"", ""#191619"", ""#bcc5c8"", ""#1e1817"", ""#5d6c7f"", ""#c8cccb"", ""#6c7d8e"", ""#171518"", ""#59687b"", ""#c3c9c9"", ""#181517"", ""#c4c9c9"", ""#c6cac5"", ""#c8ccca"", ""#1d181a"", ""#19171a""], ""avg_faces_per_frame"": 1.7777777777777777, ""text_percentage"": 50.0, ""screen_recording_percentage"": 100.0}","{""audio_characteristics"": null, ""tempo_bpm"": null, ""energy_level"": null, ""raw_features"": null}"
